date,department,total_beds,occupied_beds
2025-04-29,Pediatrics,64,42
2025-04-30,Emergency,64,43
2025-05-01,Pediatrics,64,43
2025-05-02,Pediatrics,64,48
2025-05-03,Emergency,64,41
2025-05-04,Pediatrics,64,44
2025-05-05,Cardiology,64,42
2025-05-06,Emergency,64,49
2025-05-07,Pediatrics,64,43
2025-05-08,Emergency,64,49
2025-05-09,Emergency,64,54
2025-05-10,Pediatrics,64,54
2025-05-11,Pediatrics,64,44
2025-05-12,Emergency,64,51
2025-05-13,Emergency,64,47
2025-05-14,Emergency,64,47
2025-05-15,Emergency,64,50
2025-05-16,Emergency,64,54
2025-05-17,Cardiology,64,52
2025-05-18,Emergency,64,49
2025-05-19,Emergency,64,53
2025-05-20,Emergency,64,44
2025-05-21,Pediatrics,64,49
2025-05-22,Pediatrics,64,49
2025-05-23,Pediatrics,64,51
2025-05-24,Cardiology,64,50
2025-05-25,Cardiology,64,50
2025-05-26,Cardiology,64,50
2025-05-27,Pediatrics,64,51
2025-05-28,Pediatrics,64,52
2025-05-29,Pediatrics,64,51
2025-05-30,Cardiology,64,49
2025-05-31,Pediatrics,64,51
2025-06-01,Pediatrics,64,52
2025-06-02,Pediatrics,64,48
2025-06-03,Cardiology,64,49
2025-06-04,Cardiology,64,53
2025-06-05,Cardiology,64,46
2025-06-06,Cardiology,64,54
2025-06-07,Cardiology,64,44
2025-06-08,Emergency,64,47
2025-06-09,Pediatrics,64,45
2025-06-10,Cardiology,64,54
2025-06-11,Pediatrics,64,45
2025-06-12,Emergency,64,45
2025-06-13,Pediatrics,64,45
2025-06-14,Pediatrics,64,46
2025-06-15,Emergency,64,44
2025-06-16,Cardiology,64,44
2025-06-17,Pediatrics,64,34
2025-06-18,Pediatrics,64,44
2025-06-19,Pediatrics,64,43
2025-06-20,Cardiology,64,46
2025-06-21,Emergency,64,46
2025-06-22,Pediatrics,64,41
2025-06-23,Pediatrics,64,44
2025-06-24,Pediatrics,64,38
2025-06-25,Emergency,64,43
2025-06-26,Cardiology,64,39
2025-06-27,Emergency,64,36
2025-06-28,Pediatrics,64,39
2025-06-29,Pediatrics,64,43
2025-06-30,Emergency,64,39
2025-07-01,Emergency,64,43
2025-07-02,Cardiology,64,36
2025-07-03,Cardiology,64,41
2025-07-04,Cardiology,64,35
2025-07-05,Cardiology,64,38
2025-07-06,Pediatrics,64,37
2025-07-07,Pediatrics,64,38
2025-07-08,Pediatrics,64,37
2025-07-09,Cardiology,64,34
2025-07-10,Pediatrics,64,38
2025-07-11,Pediatrics,64,41
2025-07-12,Emergency,64,34
2025-07-13,Pediatrics,64,30
2025-07-14,Cardiology,64,37
2025-07-15,Cardiology,64,34
2025-07-16,Pediatrics,64,35
2025-07-17,Pediatrics,64,37
2025-07-18,Pediatrics,64,34
2025-07-19,Pediatrics,64,34
2025-07-20,Cardiology,64,35
2025-07-21,Cardiology,64,40
2025-07-22,Cardiology,64,35
2025-07-23,Pediatrics,64,32
2025-07-24,Emergency,64,32
2025-07-25,Cardiology,64,36
2025-07-26,Pediatrics,64,32
2025-07-27,Emergency,64,31
2025-07-28,Cardiology,64,38
2025-07-29,Emergency,64,39
2025-07-30,Emergency,64,36
2025-07-31,Cardiology,64,38
2025-08-01,Emergency,64,38
2025-08-02,Emergency,64,39
2025-08-03,Cardiology,64,40
2025-08-04,Cardiology,64,31
2025-08-05,Emergency,64,38
2025-08-06,Cardiology,64,41
2025-08-07,Emergency,64,38
2025-08-08,Cardiology,64,40
2025-08-09,Emergency,64,43
2025-08-10,Emergency,64,41
2025-08-11,Cardiology,64,46
2025-08-12,Pediatrics,64,45
2025-08-13,Cardiology,64,42
2025-08-14,Cardiology,64,42
2025-08-15,Cardiology,64,34
2025-08-16,Emergency,64,42
2025-08-17,Emergency,64,40
2025-08-18,Cardiology,64,45
2025-08-19,Cardiology,64,45
2025-08-20,Cardiology,64,47
2025-08-21,Pediatrics,64,50
2025-08-22,Cardiology,64,46
2025-08-23,Emergency,64,53
2025-08-24,Cardiology,64,47
2025-08-25,Cardiology,64,43
2025-08-26,Emergency,64,46
2025-08-27,Cardiology,64,47
2025-08-28,Pediatrics,64,50
2025-08-29,Cardiology,64,46
2025-08-30,Cardiology,64,48
2025-08-31,Emergency,64,49
2025-09-01,Emergency,64,48
2025-09-02,Emergency,64,52
2025-09-03,Pediatrics,64,52
2025-09-04,Pediatrics,64,54
2025-09-05,Cardiology,64,49
2025-09-06,Pediatrics,64,54
2025-09-07,Cardiology,64,47
2025-09-08,Cardiology,64,47
2025-09-09,Cardiology,64,47
2025-09-10,Emergency,64,51
2025-09-11,Cardiology,64,55
2025-09-12,Pediatrics,64,49
2025-09-13,Cardiology,64,50
2025-09-14,Pediatrics,64,50
2025-09-15,Emergency,64,53
2025-09-16,Emergency,64,49
2025-09-17,Emergency,64,49
2025-09-18,Cardiology,64,47
2025-09-19,Pediatrics,64,49
2025-09-20,Cardiology,64,54
2025-09-21,Cardiology,64,50
2025-09-22,Cardiology,64,48
2025-09-23,Cardiology,64,53
2025-09-24,Pediatrics,64,48
2025-09-25,Emergency,64,53
2025-09-26,Emergency,64,53
2025-09-27,Pediatrics,64,49
2025-09-28,Cardiology,64,44
2025-09-29,Emergency,64,55
2025-09-30,Pediatrics,64,49
2025-10-01,Emergency,64,46
2025-10-02,Emergency,64,50
2025-10-03,Emergency,64,48
2025-10-04,Emergency,64,50
2025-10-05,Pediatrics,64,44
2025-10-06,Pediatrics,64,46
2025-10-07,Cardiology,64,41
2025-10-08,Pediatrics,64,46
2025-10-09,Emergency,64,44
2025-10-10,Cardiology,64,44
2025-10-11,Emergency,64,42
2025-10-12,Pediatrics,64,42
2025-10-13,Cardiology,64,39
2025-10-14,Pediatrics,64,44
2025-10-15,Cardiology,64,46
2025-10-16,Cardiology,64,39
2025-10-17,Pediatrics,64,42
2025-10-18,Pediatrics,64,41
2025-10-19,Emergency,64,39
2025-10-20,Pediatrics,64,34
2025-10-21,Pediatrics,64,35
2025-10-22,Emergency,64,36
2025-10-23,Pediatrics,64,32
2025-10-24,Emergency,64,42
2025-10-25,Cardiology,64,38
2025-10-26,Emergency,64,37
2025-10-27,Emergency,64,30
2025-10-28,Cardiology,64,31
2025-10-29,Pediatrics,64,36
2025-10-30,Pediatrics,64,42
2025-10-31,Cardiology,64,34
2025-11-01,Pediatrics,64,38
2025-11-02,Emergency,64,34
2025-11-03,Pediatrics,64,35
2025-11-04,Emergency,64,39
2025-11-05,Cardiology,64,34
2025-11-06,Pediatrics,64,33
2025-11-07,Emergency,64,39
2025-11-08,Cardiology,64,35
2025-11-09,Pediatrics,64,38
2025-11-10,Pediatrics,64,33
2025-11-11,Emergency,64,39
2025-11-12,Cardiology,64,36
2025-11-13,Emergency,64,37
2025-11-14,Cardiology,64,36
2025-11-15,Cardiology,64,34
2025-11-16,Emergency,64,36
2025-11-17,Pediatrics,64,35
2025-11-18,Cardiology,64,39
2025-11-19,Cardiology,64,36
2025-11-20,Emergency,64,32
2025-11-21,Emergency,64,32
2025-11-22,Cardiology,64,32
2025-11-23,Cardiology,64,39
2025-11-24,Emergency,64,34
2025-11-25,Pediatrics,64,39
2025-11-26,Cardiology,64,39
2025-11-27,Emergency,64,39
2025-11-28,Cardiology,64,41
2025-11-29,Emergency,64,40
2025-11-30,Emergency,64,32
2025-12-01,Emergency,64,40
2025-12-02,Emergency,64,42
2025-12-03,Cardiology,64,46
2025-12-04,Pediatrics,64,47
2025-12-05,Emergency,64,38
2025-12-06,Emergency,64,42
2025-12-07,Emergency,64,39
2025-12-08,Emergency,64,48
2025-12-09,Emergency,64,47
2025-12-10,Emergency,64,46
2025-12-11,Pediatrics,64,46
2025-12-12,Cardiology,64,50
2025-12-13,Cardiology,64,50
2025-12-14,Pediatrics,64,50
2025-12-15,Emergency,64,48
2025-12-16,Emergency,64,46
2025-12-17,Cardiology,64,50
2025-12-18,Cardiology,64,50
2025-12-19,Emergency,64,48
2025-12-20,Cardiology,64,47
2025-12-21,Emergency,64,52
2025-12-22,Emergency,64,54
2025-12-23,Cardiology,64,47
2025-12-24,Pediatrics,64,49
2025-12-25,Pediatrics,64,51
2025-12-26,Pediatrics,64,52
2025-12-27,Cardiology,64,49
2025-12-28,Emergency,64,56
2025-12-29,Emergency,64,52
2025-12-30,Cardiology,64,52
2025-12-31,Emergency,64,56
